name,openset
sample_00000000,"['pleasurable', 'self-deprecating', 'relaxed', 'complaining', 'relieved', 'humorous', 'joyful', 'happy']"
sample_00000007,"['excited', 'joyful', 'happy']"
sample_00000021,"['suspect', 'question', 'doubt']"
sample_00000033,"['pessimism', 'worry']"
sample_00000039,"['angry', 'mad']"
sample_00000055,"['concerned', 'worried', 'serious', 'heavy']"
sample_00000068,"['unease', 'anxiety', 'worry', 'fear', 'sadness', 'nervousness']"
sample_00000070,"['sad', 'depressed']"
sample_00000073,"['excited', 'angry']"
sample_00000114,"['impatient', 'warning', 'angry', 'displeased']"
sample_00000118,"['serious', 'concerned', 'helpless', 'worried', 'thinking']"
sample_00000126,"['angry', 'disappointed']"
sample_00000153,"['surprised', 'relaxed', 'positive', 'joyful', 'pleasant', 'happy']"
sample_00000166,"['surprised', 'uneasy', 'nervous']"
sample_00000174,"['surprised', 'delighted', 'happy']"
sample_00000176,"['concern', 'terror', 'worry', 'fear']"
sample_00000203,"['sad', 'miss', 'nostalgic']"
sample_00000208,"['joyful', 'delighted', 'happy']"
sample_00000209,"['looking forward to', 'joyful', 'happy']"
sample_00000213,"['accusation', 'angry', 'dissatisfaction']"
sample_00000215,"['relaxed', 'agree', 'positive', 'accept', 'pleasant', 'happy']"
sample_00000218,"['impatient', 'excited', 'angry', 'dissatisfied']"
sample_00000220,['surprised']
sample_00000225,"['suspicious', 'angry', 'dissatisfied', 'questioning']"
sample_00000227,"['affirmative', 'positive', 'joyful', 'confident', 'delighted', 'happy']"
sample_00000240,"['surprise', 'admiration', 'shock', 'sympathy']"
sample_00000246,"['concern', 'attention', 'worry']"
sample_00000256,"['regret', 'remorse', 'sadness', 'grief']"
sample_00000258,"['serious', 'thoughtful', 'thinking']"
sample_00000276,['sad']
sample_00000278,"['coquettish', 'joyful', 'positive', 'happy']"
sample_00000286,"['negative', 'disappointed']"
sample_00000294,"['relax', 'joyful', 'positive', 'happy']"
sample_00000296,"['accusation', 'angry', 'negative']"
sample_00000325,"['helplessness', 'pain', 'breakdown', 'sadness']"
sample_00000338,"['anxiety', 'nervousness', 'worry']"
sample_00000342,['surprised']
sample_00000346,"['concerned', 'negative', 'worried']"
sample_00000353,"['uneasy', 'serious', 'heavy', 'concerned', 'nervous', 'worried']"
sample_00000361,"['concern', 'warning']"
sample_00000363,"['nervous', 'worried']"
sample_00000365,"['serious', 'angry', 'disappointed']"
sample_00000368,"['surprised', 'puzzled', 'alert', 'curious', 'confused']"
sample_00000370,"['disappointment', 'sadness', 'negative emotions', 'self-deprecation', 'negativity', 'frustration', 'helplessness', 'dissatisfaction']"
sample_00000385,"['humorous', 'joyful', 'satisfied', 'happy']"
sample_00000388,"['accusation', 'anger', 'blame', 'dissatisfaction']"
sample_00000393,"['questioning', 'warning', 'angry', 'dissatisfaction']"
sample_00000406,"['doubtful', 'confused']"
sample_00000407,"['excited', 'angry']"
sample_00000420,"['humor', 'mockery', 'irony']"
sample_00000433,"['serious', 'worried', 'concerned']"
sample_00000439,"['surprised', 'shocked']"
sample_00000444,"['joyful', 'happy']"
sample_00000447,"['unfairness', 'disappointment', 'sadness', 'dissatisfaction']"
sample_00000461,"['low', 'heavy', 'sad', 'memories', 'contemplation']"
sample_00000476,"['anxiety', 'worry']"
sample_00000493,"['negative', 'angry', 'dissatisfied']"
sample_00000499,"['relaxed', 'caring', 'pleasant', 'friendly', 'happy']"
sample_00000502,"['relieved', 'relaxed', 'joyful', 'happy']"
sample_00000508,"['surprised', 'question']"
sample_00000515,"['angry', 'dissatisfied']"
sample_00000518,"['uneasy', 'serious', 'uncomfortable', 'worried', 'anxious']"
sample_00000519,"['excited', 'angry']"
sample_00000529,"['concern', 'anxiety', 'care', 'worry']"
sample_00000535,"['conflict', 'angry', 'sad', 'excited', 'dissatisfied']"
sample_00000536,"['pain', 'breakdown', 'sadness']"
sample_00000549,"['surprised', 'confused', 'puzzled']"
sample_00000561,"['satisfied', 'positive', 'happy']"
sample_00000569,"['resolute', 'painful', 'serious', 'helpless', 'sad', 'hopeless']"
sample_00000571,"['excited', 'looking forward to', 'joyful', 'happy']"
sample_00000601,"['relaxed', 'shy', 'happy', 'teasing']"
sample_00000602,"['serious', 'nervous', 'angry', 'dissatisfied']"
sample_00000605,"['love', 'relaxed', 'proud', 'joy', 'positive', 'interest', 'confident', 'happy']"
sample_00000607,"['excited', 'joyful', 'satisfied', 'happy']"
sample_00000613,"['hostile', 'provocation', 'angry', 'displeasure']"
sample_00000623,['angry']
sample_00000633,"['relaxed', 'friendly', 'pleasant', 'confident', 'happy']"
sample_00000639,"['impatient', 'angry', 'dissatisfied']"
sample_00000646,"['advice', 'worry', 'concern']"
sample_00000648,"['angry', 'dissatisfied']"
sample_00000653,['sad']
sample_00000665,"['regret', 'guilt', 'sadness']"
sample_00000668,"['doubtful', 'questioning', 'angry', 'dissatisfied']"
sample_00000669,"['nervous', 'surprise', 'dissatisfied']"
sample_00000679,"['praise', 'encouraging', 'positive', 'joyful', 'friendly', 'satisfied', 'happy']"
sample_00000680,"['shy', 'relaxed', 'positive', 'grateful', 'happy']"
sample_00000686,"['joyful', 'positive', 'happy']"
sample_00000689,"['provocation', 'angry', 'impatient', 'complaint', 'dissatisfaction']"
sample_00000694,"['accusation', 'angry', 'sad', 'intense', 'blame', 'dissatisfaction']"
sample_00000716,"['excited', 'angry']"
sample_00000727,"['guilt', 'sadness']"
sample_00000732,"['nostalgia', 'nostalgic', 'sigh']"
sample_00000741,"['shame', 'pain', 'missing', 'guilt', 'exhaustion', 'longing', 'weary', 'self-blame', 'sadness']"
sample_00000774,"['blessing', 'recognition', 'joy', 'praise', 'positive emotion', 'encouragement', 'relaxation', 'happy']"
sample_00000788,"['concerned', 'nervous', 'worried']"
sample_00000808,"['trouble', 'anxiety', 'worry', 'negativity', 'fear', 'distress', 'helplessness']"
sample_00000817,"['coquettish', 'gentle', 'close', 'positive', 'joyful', 'caring', 'happy']"
sample_00000823,"['excited', 'unsatisfied']"
sample_00000839,"['blame', 'dissatisfaction']"
sample_00000855,"['excited', 'angry']"
sample_00000877,"['concern', 'worry']"
sample_00000881,['helpless']
sample_00000884,"['questioning', 'doubt']"
sample_00000894,"['angry', 'disappointed']"
sample_00000906,"['concerned', 'uneasy', 'worried', 'unhappy']"
sample_00000907,"['sadness', 'anger', 'discontent', 'pain']"
sample_00000912,"['concern', 'attention', 'worry']"
sample_00000927,"['excited', 'joyful', 'happy']"
sample_00000956,['surprised']
sample_00000958,"['warm', 'positive', 'happy']"
sample_00000960,"['quarrel', 'serious', 'angry', 'debate', 'displeased', 'unhappy']"
sample_00000972,"['joyful', 'satisfied', 'happy']"
sample_00000980,"['grateful', 'positive', 'happy']"
sample_00000987,"['angry', 'arguing', 'dissatisfied']"
sample_00001000,"['admire', 'appreciate', 'recognize']"
sample_00001009,"['threatened', 'angry', 'furious']"
sample_00001025,"['enjoy', 'relaxed', 'looking forward to', 'happy']"
sample_00001036,"['accusation', 'angry', 'dissatisfaction']"
sample_00001039,"['irritated', 'angry', 'displeased', 'mad', 'refuse', 'impatient']"
sample_00001043,"['excited', 'angry', 'dissatisfied']"
sample_00001049,"['naughty', 'joyful', 'lively', 'pleasant', 'happy']"
sample_00001055,"['angry', 'irritable', 'dissatisfied']"
sample_00001068,"['surprised', 'curious']"
sample_00001072,"['agree', 'positive', 'happy']"
sample_00001073,"['enjoy', 'relax', 'appreciate', 'pleasure', 'like', 'happy']"
sample_00001074,['depressed']
sample_00001089,"['joyful', 'pleasant', 'happy']"
sample_00001090,"['relaxed', 'joyful', 'happy']"
sample_00001097,['curious']
sample_00001101,"['shy', 'relaxed', 'hesitant', 'joyful', 'friendly', 'happy']"
sample_00001110,"['pleased', 'happy']"
sample_00001116,"['worried', 'angry', 'displeased', 'concerned']"
sample_00001119,"['angry', 'accuse', 'severe', 'blame']"
sample_00001126,"['concern', 'negativity', 'worry', 'self-blame']"
sample_00001132,"['confused', 'guessing', 'delighted', 'happy']"
sample_00001142,"['questioning feeling', 'angry', 'dissatisfied']"
sample_00001146,"['pressure', 'negative', 'uneasy', 'surprised']"
sample_00001152,"['pleasant', 'humor', 'happy']"
sample_00001155,"['comforted', 'joyful', 'caring', 'pleased', 'happy']"
sample_00001156,"['nervous', 'worried']"
sample_00001175,"['joyful', 'content', 'satisfied', 'happy']"
sample_00001176,"['angry', 'dissatisfied']"
sample_00001178,"['excited', 'warning', 'angry', 'hysterical']"
sample_00001184,"['relaxed', 'proud', 'happy']"
sample_00001189,"['surprised', 'confused']"
sample_00001192,"['serious', 'sad', 'heavy']"
sample_00001198,"['warning', 'angry', 'threat']"
sample_00001199,"['comfort', 'concern', 'encourage', 'care', 'happy']"
sample_00001203,"['relaxed', 'positive', 'joyful', 'friendly', 'happy']"
sample_00001205,"['worried', 'sad']"
sample_00001215,"['accusation', 'anger', 'irritation', 'displeasure']"
sample_00001245,"['complain', 'doubt', 'disapprove', 'angry', 'dissatisfied']"
sample_00001249,"['angry', 'accuse']"
sample_00001255,"['joyful', 'positive', 'happy']"
sample_00001260,"['low', 'down', 'depressed']"
sample_00001269,"['angry', 'mad']"
sample_00001282,"['angry', 'displeased']"
sample_00001286,"['joy', 'happiness', 'surprise', 'delight', 'incredible']"
sample_00001288,"['pleased', 'happy']"
sample_00001304,"['sadness', 'crying', 'heartbreak', 'pain']"
sample_00001314,"['warning', 'angry', 'threat']"
sample_00001327,"['surprised', 'confused']"
sample_00001334,"['understanding', 'joyful', 'excited', 'comprehension', 'pleasant', 'friendly', 'happy']"
sample_00001337,"['surprised', 'joyful', 'delighted', 'happy', 'amazed']"
sample_00001340,"['frustration', 'anger', 'discontent', 'sadness']"
sample_00001345,"['uneasy', 'troubled', 'nervous', 'worried', 'confused', 'thinking']"
sample_00001346,"['accusation', 'angry', 'displeasure']"
sample_00001347,"['serious', 'tense', 'urgent']"
sample_00001350,"['anxious', 'surprised', 'urgent', 'nervous']"
sample_00001354,"['joyful', 'delighted', 'happy']"
sample_00001371,"['concern', 'nervous', 'worry']"
sample_00001378,"['serious', 'warning', 'worry', 'advice', 'excitement']"
sample_00001383,"['positivity', 'anticipation', 'joy', 'care', 'happiness', 'friendliness', 'hope', 'pleasure']"
sample_00001389,"['angry', 'displeased']"
sample_00001393,"['concern', 'worry']"
sample_00001411,"['excited', 'angry']"
sample_00001416,"['joyful', 'comforted', 'happy']"
sample_00001421,"['angry', 'dissatisfied', 'refuse']"
sample_00001426,"['surprised', 'curious']"
sample_00001433,"['relaxed', 'satisfied', 'joyful', 'delighted', 'happy']"
sample_00001437,"['doubtful', 'surprised', 'curious', 'confused', 'happy']"
sample_00001440,"['angry', 'mad']"
sample_00001453,"['appreciative', 'positive', 'happy']"
sample_00001455,"['emphasize', 'joyful', 'positive', 'happy']"
sample_00001468,"['complain', 'angry', 'blame', 'dissatisfaction']"
sample_00001492,"['accusation', 'angry', 'disappointed']"
sample_00001500,"['concern', 'admonish', 'worry']"
sample_00001515,"['complain', 'heartbroken', 'angry', 'sad', 'dissatisfied']"
sample_00001521,"['concern', 'friendliness', 'inquiry', 'politeness']"
sample_00001539,"['looking forward', 'positive', 'hoping', 'happy']"
sample_00001557,"['heartbroken', 'sad']"
sample_00001580,"['confidence', 'determination']"
sample_00001586,"['shy', 'grateful', 'joyful', 'delighted', 'happy']"
sample_00001589,"['conflict', 'quarrel', 'anger', 'blame', 'dissatisfaction']"
sample_00001614,"['disappointed', 'dissatisfied', 'sad']"
sample_00001619,"['accusation', 'angry']"
sample_00001620,"['negative emotions', 'complaints', 'dissatisfaction']"
sample_00001629,"['positive', 'joyful', 'pleasant', 'pleased', 'happy']"
sample_00001636,"['pain', 'despair', 'contemplation', 'memories', 'helplessness', 'sadness']"
sample_00001641,"['hate', 'angry']"
sample_00001642,"['positive emotions', 'joyful', 'grateful', 'happy']"
sample_00001652,"['concern', 'advice', 'suggestion', 'worry']"
sample_00001655,"['warning', 'angry', 'challenge']"
sample_00001679,"['concern', 'nervous', 'worry']"
sample_00001681,"['accusation', 'anger', 'dissatisfaction', 'questioning']"
sample_00001693,['nervous']
sample_00001697,"['questioning', 'angry', 'dissatisfied']"
sample_00001717,"['sure', 'appreciate it']"
sample_00001720,"['looking forward', 'positive', 'optimistic', 'happy']"
sample_00001731,"['determined', 'angry', 'refuse']"
sample_00001732,"['disappointment', 'concern', 'trouble', 'anxiety', 'worry']"
sample_00001749,"['helplessness', 'dissatisfaction']"
sample_00001751,"['concern', 'advice', 'care', 'opposition']"
sample_00001755,"['negative emotions', 'excitement', 'mockery']"
sample_00001756,"['angry', 'displeased']"
sample_00001760,"['persuasion', 'anger', 'displeasure']"
sample_00001762,"['warning', 'angry']"
sample_00001766,"['regret', 'apology', 'reflection']"
sample_00001774,"['doubt', 'anger', 'confusion', 'blame', 'displeasure']"
sample_00001776,"['lost', 'struggling', 'strong', 'melancholy']"
sample_00001786,"['confused', 'sad']"
sample_00001797,"['angry', 'accuse']"
sample_00001807,"['angry', 'mad']"
sample_00001811,"['impatient', 'excited', 'angry']"
sample_00001817,"['affirmative', 'approval', 'agree', 'joyful', 'pleasant', 'happy']"
sample_00001823,"['concern', 'worry']"
sample_00001826,"['expecting', 'joyful', 'anticipating', 'pleasure', 'happy']"
sample_00001832,"['concern', 'anxiety', 'worry']"
sample_00001841,"['guilt', 'self-blame']"
sample_00001846,"['shocked', 'angry', 'disappointed', 'hurt']"
sample_00001868,"['concern', 'worry']"
sample_00001871,"['agreement', 'sadness']"
sample_00001890,"['excited', 'angry', 'threat']"
sample_00001904,"['thankful', 'positive', 'joyful', 'grateful', 'happy']"
sample_00001920,"['angry', 'mad']"
sample_00001921,"['desire', 'looking forward to', 'positive', 'eager', 'pleasant', 'happy']"
sample_00001932,"['excited', 'angry']"
sample_00001942,"['accusation', 'anger', 'blame', 'dissatisfaction']"
sample_00001946,"['heartbroken', 'sad', 'heavy']"
sample_00001948,"['care', 'happy']"
sample_00001959,"['heartbroken', 'sad']"
sample_00001984,"['relaxed', 'positive', 'joyful', 'honored', 'pleasant', 'happy']"
sample_00002021,"['joyful', 'happy']"
sample_00002041,"['negative', 'sad']"
sample_00002055,"['questioning', 'angry', 'sad']"
sample_00002058,"['angry', 'dissatisfied']"
sample_00002070,"['serious', 'worried']"
sample_00002078,"['negative emotions', 'criticism', 'anger', 'dissatisfaction']"
sample_00002087,"['questioning', 'angry', 'dissatisfied']"
sample_00002094,"['concern', 'worry', 'advice']"
sample_00002097,"['angry', 'dissatisfied']"
sample_00002099,"['angry', 'dissatisfied']"
sample_00002132,"['excitement', 'argument']"
sample_00002142,"['nervous', 'joyful', 'shy', 'happy']"
sample_00002148,"['gratitude', 'missing', 'sadness']"
sample_00002180,"['excited', 'questioning', 'doubtful', 'angry']"
sample_00002181,"['joyful', 'happy']"
sample_00002183,"['relaxed', 'proud', 'joyful', 'satisfied', 'happy']"
sample_00002187,"['excited', 'angry', 'collapse']"
sample_00002212,"['concerned', 'negative', 'sad']"
sample_00002220,"['accusation', 'anger', 'advice', 'angry', 'dissatisfaction']"
sample_00002223,"['painful', 'sad', 'heavy']"
sample_00002238,"['heartbreak', 'pain', 'sorrow', 'heaviness', 'melancholy', 'reflective', 'low mood', 'contemplation', 'sadness']"
sample_00002244,"['quarrel', 'negative', 'angry', 'excited', 'dissatisfied']"
sample_00002253,"['angry', 'dissatisfied']"
sample_00002254,"['joyful', 'delighted', 'positive', 'happy']"
sample_00002259,"['relaxed', 'friendly', 'teasing']"
sample_00002277,"['anxiety', 'worry']"
sample_00002280,"['worries', 'pressure', 'heavy']"
sample_00002283,"['angry', 'accuse']"
sample_00002292,"['concerned', 'nervous', 'worried', 'serious']"
sample_00002298,"['excited', 'angry']"
sample_00002303,"['sad', 'wronged']"
sample_00002306,"['relaxed', 'joyful', 'friendly', 'happy']"
sample_00002311,"['frank', 'sincere', 'happy']"
sample_00002316,"['angry', 'accuse']"
sample_00002325,"['pleasurable', 'teasing', 'positive', 'joyful', 'happy']"
sample_00002329,"['friendly', 'caring', 'curious', 'happy']"
sample_00002337,"['anxiety', 'nervousness', 'worry']"
sample_00002339,"['emphasize', 'blame', 'dissatisfaction']"
sample_00002348,"['surprised', 'shocked']"
sample_00002374,"['restless', 'worried']"
sample_00002394,"['accusation', 'angry']"
sample_00002419,"['joyful', 'happy']"
sample_00002420,"['excited', 'angry', 'dissatisfied']"
sample_00002444,"['relaxed', 'teasing', 'enjoy', 'joyful', 'charming', 'pleasant', 'delighted', 'happy']"
sample_00002448,"['joyful', 'support', 'satisfied', 'happy']"
sample_00002449,"['satisfied', 'joyful', 'excited', 'delighted', 'happy']"
sample_00002465,"['sadness', 'negativity', 'heartbreak', 'melancholy']"
sample_00002466,"['breakdown', 'sadness']"
sample_00002475,"['pain', 'sadness']"
sample_00002476,"['open', 'relaxed', 'positive', 'humorous', 'friendly', 'happy']"
sample_00002477,"['angry', 'displeased']"
sample_00002486,"['concern', 'worry']"
sample_00002504,"['naughty', 'pleasure', 'proud', 'joyful', 'lively', 'happy']"
sample_00002511,"['angry', 'disappointed', 'wronged']"
sample_00002514,"['serious', 'warning', 'angry', 'strict']"
sample_00002518,"['nostalgia', 'memories', 'sadness']"
sample_00002536,"['naughty', 'teasing', 'joyful', 'lively', 'happy']"
sample_00002544,"['angry', 'indignant']"
sample_00002550,"['angry', 'criticism', 'dissatisfaction']"
sample_00002563,"['angry', 'displeased']"
sample_00002565,"['excited', 'surprised', 'focused']"
sample_00002666,"['surprised', 'confused']"
sample_00002682,"['angry', 'displeased']"
sample_00002684,"['warm', 'positive', 'joyful', 'pleasant', 'happy']"
sample_00002709,"['angry', 'dissatisfied']"
sample_00002758,"['concern', 'negative', 'worry']"
sample_00002783,"['concerned', 'surprised', 'worried', 'nervous']"
sample_00002785,"['dissatisfied', 'displeased']"
sample_00002789,"['angry', 'dissatisfied']"
sample_00002958,"['angry', 'mad']"
sample_00002968,"['unwilling', 'reluctant']"
sample_00002977,"['accuse', 'angry', 'blame']"
sample_00002982,"['angry', 'aggressive']"
sample_00003001,"['joy', 'praise', 'happiness', 'nostalgia', 'delight', 'respect']"
sample_00003025,['serious']
sample_00003049,"['doubtful', 'concerned', 'worried', 'suspicious', 'confused']"
sample_00003058,"['polite', 'uneasy', 'nervous']"
sample_00003062,"['frustration', 'helplessness', 'worry']"
sample_00003084,"['angry', 'dissatisfied']"
sample_00003116,"['pleased', 'joyful', 'happy', 'positive attitude']"
sample_00003127,"['confidence', 'determination']"
sample_00003134,"['accusation', 'warning', 'anger', 'severity', 'dissatisfaction']"
sample_00003159,['excited']
sample_00003211,"['angry', 'dissatisfied']"
sample_00003238,"['disappointed', 'angry', 'displeased']"
sample_00003239,"['serious', 'negative', 'worried']"
sample_00003253,"['joyful', 'happy']"
sample_00003284,['surprised']
sample_00003296,"['pressure', 'breakdown', 'anxiety', 'pain']"
sample_00003298,"['angry', 'mad']"
